family_code,spawn_rate,death_rate,replication_rate,mutation_rate
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
LYS,0.0,0.000240231417851503,0.04546761993379166,0.03540240732014847
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
LYS,0.0,0.000240231417851503,0.04546761993379166,0.03540240732014847
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZRY,0.0,7.889165068805529e-05,0.039976130351803946,0.03597856655330801
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
KIF,0.0,0.00018490554728147054,0.036071681840633585,0.025811698154531004
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TJR,0.0,0.00036472082669151105,0.046318268759494206,0.038717594131583294
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
FHQ,0.0,0.0003063877850139037,0.041936423379102444,0.03113565279115907
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
KIF,0.0,0.00018490554728147054,0.036071681840633585,0.025811698154531004
KIF,0.0,0.00018490554728147054,0.036071681840633585,0.025811698154531004
VFV,0.0,0.0002914934305431414,0.03523057046847989,0.037837430891606
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
KIF,0.0,0.00018490554728147054,0.036071681840633585,0.025811698154531004
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
VFV,0.0,0.0002914934305431414,0.03523057046847989,0.037837430891606
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZRY,0.0,7.889165068805529e-05,0.039976130351803946,0.03597856655330801
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
VFV,0.0,0.0002914934305431414,0.03523057046847989,0.037837430891606
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
VFV,0.0,0.0002914934305431414,0.03523057046847989,0.037837430891606
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
TBU,0.0,4.917554310866854e-06,0.040816279332504035,0.0306788541969551
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
VFV,0.0,0.0002914934305431414,0.03523057046847989,0.037837430891606
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
KIF,0.0,0.00018490554728147054,0.036071681840633585,0.025811698154531004
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
ZOC,0.0,0.00013395077032599774,0.04489062128996794,0.03763424303734204
